FunctionalLoc,resources_id,id
1800-1811-B2L2-P220-V221-BL02 BL02 BALL VALVE TANKI V221,6,333
1800-1811-B2L2-P220-V221-BL03 BL03 BALL VALVE TANKI V221,6,334
1800-1811-B2L2-P220-V221-BL04 BL04 BALL VALVE TANKI V221,6,335
1800-1811-B2L2-P220-V221-BL05 BL05 BALL VALVE TANKI V221,6,336
1800-1811-B2L2-P220-V222-BL01 BL01 BALL VALVE TANKI V222,6,337
1800-1811-B2L2-P220-V222-BL02 BL02 BALL VALVE TANKI V222,6,338
1800-1811-B2L2-P220-V222-BL03 BL03 BALL VALVE TANKI V222,6,339
1800-1811-B2L2-P220-V222-BL04 BL04 BALL VALVE TANKI V222,6,340
1800-1811-B2L2-P220-V222-BL05 BL05 BALL VALVE TANKI V222,6,341
1800-1811-B2L2-P230-A231 A231 MIXING AGITATOR P230,6,342
1800-1811-B2L2-P230-A232 A232 MIXING AGITATOR P230,6,343
1800-1811-B2L2-P230-A233 A233 MIXING AGITATOR P230,6,344
1800-1811-B2L2-P230-A234 A234 MIXING AGITATOR P230,6,345
1800-1811-B2L2-P230-P231-BL01 BL01 BALL VALVE POMPA P231,6,346
1800-1811-B2L2-P230-P231-BL02 BL02 BALL VALVE POMPA P231,6,347
1800-1811-B2L2-P230-P231-BL03 BL03 BALL VALVE POMPA P231,6,348
1800-1811-B2L2-P230-P231-BL04 BL04 BALL VALVE POMPA P231,6,349
1800-1811-B2L2-P230-P231-BL05 BL05 BALL VALVE POMPA P231,6,350
1800-1811-B2L2-P230-P231-BL06 BL06 BALL VALVE POMPA P231,6,351
1800-1811-B2L2-P230-P231-BL07 BL07 BALL VALVE POMPA P231,6,352
1800-1811-B2L2-P230-P231-BL08 BL08 BALL VALVE POMPA P231,6,353
1800-1811-B2L2-P230-P231-BL09 BL09 BALL VALVE POMPA P231,6,354
1800-1811-B2L2-P230-P231-BL10 BL10 BALL VALVE POMPA P231,6,355
1800-1811-B2L2-P230-P232-BL01 BL01 BALL VALVE POMPA P232,6,356
1800-1811-B2L2-P230-P232-BL02 BL02 BALL VALVE POMPA P232,6,357
1800-1811-B2L2-P230-P232-BL03 BL03 BALL VALVE POMPA P232,6,358
1800-1811-B2L2-P230-P232-BL04 BL04 BALL VALVE POMPA P232,6,359
1800-1811-B2L2-P230-P232-BL05 BL05 BALL VALVE POMPA P232,6,360
1800-1811-B2L2-P230-P233-BL01 BL01 BALL VALVE POMPA P233,6,361
1800-1811-B2L2-P230-P233-BL02 BL02 BALL VALVE POMPA P233,6,362
1800-1811-B2L2-P230-P233-BL03 BL03 BALL VALVE POMPA P233,6,363
1800-1811-B2L2-P230-P233-BL04 BL04 BALL VALVE POMPA P233,6,364
1800-1811-B2L2-P230-P233-BL05 BL05 BALL VALVE POMPA P233,6,365
1800-1811-B2L2-P230-V231-BF01 BF01 BUTTERFLY VALVE TANKI V231,6,366
1800-1811-B2L2-P230-V231-BL01 BL01 BALL VALVE TANKI V231,6,367
1800-1811-B2L2-P230-V231-BL02 BL02 BALL VALVE TANKI V231,6,368
1800-1811-B2L2-P230-V231-BL03 BL03 BALL VALVE TANKI V231,6,369
1800-1811-B2L2-P230-V231-BL04 BL04 BALL VALVE TANKI V231,6,370
1800-1811-B2L2-P230-V231-BL05 BL05 BALL VALVE TANKI V231,6,371
1800-1811-B2L2-P230-V231-BL06 BL06 BALL VALVE TANKI V231,6,372
1800-1811-B2L2-P230-V231-BL07 BL07 BALL VALVE TANKI V231,6,373
1800-1811-B2L2-P230-V231-BL08 BL08 BALL VALVE TANKI V231,6,374
1800-1811-B2L2-P230-V231-BL09 BL09 BALL VALVE TANKI V231,6,375
1800-1811-B2L2-P230-V232-BF01 BF01 BUTTERFLY VALVE TANKI V232,6,376
1800-1811-B2L2-P230-V232-BL01 BL01 BALL VALVE TANKI V232,6,377
1800-1811-B2L2-P230-V232-BL02 BL02 BALL VALVE TANKI V232,6,378
1800-1811-B2L2-P230-V232-BL03 BL03 BALL VALVE TANKI V232,6,379
1800-1811-B2L2-P230-V232-BL04 BL04 BALL VALVE TANKI V232,6,380
1800-1811-B2L2-P230-V232-BL05 BL05 BALL VALVE TANKI V232,6,381
1800-1811-B2L2-P230-V232-BL06 BL06 BALL VALVE TANKI V232,6,382
1800-1811-B2L2-P230-V232-BL07 BL07 BALL VALVE TANKI V232,6,383
1800-1811-B2L2-P230-V232-BL08 BL08 BALL VALVE TANKI V232,6,384
1800-1811-B2L2-P230-V233-BF01 BF01 BUTTERFLY VALVE TANKI V233,6,385
1800-1811-B2L2-P230-V233-BL01 BL01 BALL VALVE TANKI V233,6,386
1800-1811-B2L2-P230-V233-BL02 BL02 BALL VALVE TANKI V233,6,387
1800-1811-B2L2-P230-V233-BL03 BL03 BALL VALVE TANKI V233,6,388
1800-1811-B2L2-P230-V233-BL04 BL04 BALL VALVE TANKI V233,6,389
1800-1811-B2L2-P230-V233-BL05 BL05 BALL VALVE TANKI V233,6,390
1800-1811-B2L2-P230-V233-BL06 BL06 BALL VALVE TANKI V233,6,391
1800-1811-B2L2-P230-V233-BL07 BL07 BALL VALVE TANKI V233,6,392
1800-1811-B2L2-P230-V233-BL08 BL08 BALL VALVE TANKI V233,6,393
1800-1811-B2L2-P230-V234-BF01 BF01 BUTTERFLY VALVE TANKI V234,6,394
1800-1811-B2L2-P230-V234-BL01 BL01 BALL VALVE TANKI V234,6,395
1800-1811-B2L2-P230-V234-BL02 BL02 BALL VALVE TANKI V234,6,396
1800-1811-B2L2-P230-V234-BL03 BL03 BALL VALVE TANKI V234,6,397
1800-1811-B2L2-P230-V234-BL04 BL04 BALL VALVE TANKI V234,6,398
1800-1811-B2L2-P230-V234-BL05 BL05 BALL VALVE TANKI V234,6,399
1800-1811-B2L2-P230-V234-BL06 BL06 BALL VALVE TANKI V234,6,400
1800-1811-B2L2-P230-V234-BL07 BL07 BALL VALVE TANKI V234,6,401
1800-1811-B2L2-P230-V234-BL08 BL08 BALL VALVE TANKI V234,6,402
1800-1811-B2L2-P230-V235-BL01 BL01 BALL VALVE TANKI V235,6,403
1800-1811-B2L2-P230-V235-BL02 BL02 BALL VALVE TANKI V235,6,404
1800-1811-B2L2-P230-V235-BL03 BL03 BALL VALVE TANKI V235,6,405
1800-1811-B2L2-P230-V236-BL01 BL01 BALL VALVE TANKI V236,6,406
1800-1811-B2L2-P230-V236-BL02 BL02 BALL VALVE TANKI V236,6,407
1800-1811-B2L2-P230-V236-BL03 BL03 BALL VALVE TANKI V236,6,408
1800-1811-B2L2-P230-V237-BL01 BL01 BALL VALVE TANKI V237,6,409
1800-1811-B2L2-P240-B241 B241 BLOWER A SCRUBBER P240 PACV,6,410
1800-1811-B2L2-P240-B242 B242 BLOWER B SCRUBBER P240 PACV,6,411
1800-1811-B2L2-P240-V241-BL01 BL01 BALL VALVE TANKI V241,6,412
1800-1811-B2L2-P240-V241-BL02 BL02 BALL VALVE TANKI V241,6,413
1800-1811-B2L2-P240-V241-BL03 BL03 BALL VALVE TANKI V241,6,414
1800-1811-B2L2-P240-V241-BL04 BL04 BALL VALVE TANKI V241,6,415
1800-1811-B2L2-P240-V241-BL05 BL05 BALL VALVE TANKI V241,6,416
1800-1811-B2L2-P240-V241-BL06 BL06 BALL VALVE TANKI V241,6,417
1800-1811-B2L2-P240-V241-BL07 BL07 BALL VALVE TANKI V241,6,418
1800-1811-B2L2-P240-V242-BL01 BL01 BALL VALVE TANKI V242,6,419
1800-1811-B2L2-P240-V242-BL02 BL02 BALL VALVE TANKI V242,6,420
1800-1811-B2L2-P240-V242-BL03 BL03 BALL VALVE TANKI V242,6,421
1800-1811-B2L2-P240-V242-BL04 BL04 BALL VALVE TANKI V242,6,422
1800-1811-B2L2-P240-V242-BL05 BL05 BALL VALVE TANKI V242,6,423
1800-1811-B2L2-P240-V242-BL06 BL06 BALL VALVE TANKI V242,6,424
1800-1811-B2L2-P240-V242-BL07 BL07 BALL VALVE TANKI V242,6,425
1800-1811-B2L2-P240-V242-BL08 BL08 BALL VALVE TANKI V242,6,426
1800-1811-B2L2-P240-V243-BL01 BL01 BALL VALVE TANKI V243,6,427
1800-1811-B2L2-P240-V243-BL02 BL02 BALL VALVE TANKI V243,6,428
1800-1811-B2L2-P240-V243-BL03 BL03 BALL VALVE TANKI V243,6,429
1800-1811-B2L2-P240-V243-BL04 BL04 BALL VALVE TANKI V243,6,430
1800-1811-B2L2-P240-V243-BL05 BL05 BALL VALVE TANKI V243,6,431
1800-1811-B2L2-P240-V243-BL06 BL06 BALL VALVE TANKI V243,6,432
1800-1811-B2L2-P240-V243-BL07 BL07 BALL VALVE TANKI V243,6,433
1800-1811-B2L2-P240-V243-BL08 BL08 BALL VALVE TANKI V243,6,434
1800-1811-B2L2-P240-V244-BL01 BL01 BALL VALVE TANKI V244,6,435
1800-1811-B2L2-P240-V244-BL02 BL02 BALL VALVE TANKI V244,6,436
1800-1811-B2L2-P240-V244-BL03 BL03 BALL VALVE TANKI V244,6,437
1800-1811-B2L2-P240-V244-BL04 BL04 BALL VALVE TANKI V244,6,438
1800-1811-B2L2-P240-V244-BL05 BL05 BALL VALVE TANKI V244,6,439
1800-1811-B2L2-P240-V244-BL06 BL06 BALL VALVE TANKI V244,6,440
1800-1811-B2L2-P240-V244-BL07 BL07 BALL VALVE TANKI V244,6,441
1800-1811-B2L2-P240-V244-BL08 BL08 BALL VALVE TANKI V244,6,442
1800-1811-B3P1 AREA PRODUKSI POWDER 1,15,443
1800-1811-B3P2 AREA POWDER UNIT C,8,444
1800-1811-C1I1 AREA RECYCLE,16,445
1800-1811-C1M1 AREA WORKSHOP MAINTENANCE,17,446
1800-1811-C1M2 AREA WORKSHOP MAINTENANCE KENDARAAN,17,447
1800-1811-C1M3 AREA WORKSHOP MAINTENANCE KALIBRASI,17,448
1800-1811-B2L2-P210-R211-TT01 TT01 TEMP TRANSMITTER REAKTOR R211,6,449
1800-1811-B2L2-P210-R211-XV01 XV01 ON / OFF VALVE REAKTOR R211,6,450
1800-1811-B2L2-P210-R211-XV02 XV02 ON / OFF VALVE REAKTOR R211,6,451
1800-1811-B2L2-P210-R211-XV03 XV03 ON / OFF VALVE REAKTOR R211,6,452
1800-1811-B2L2-P210-R211-XV04 XV04 ON / OFF VALVE REAKTOR R211,6,453
1800-1811-B2L2-P210-R212-TT01 TT01 TEMP TRANSMITTER REAKTOR R212,6,454
1800-1811-B2L2-P210-R212-XV01 XV01 ON / OFF VALVE REAKTOR R212,6,455
1800-1811-B2L2-P210-R212-XV02 XV02 ON / OFF VALVE REAKTOR R212,6,456
1800-1811-B2L2-P210-R212-XV03 XV03 ON / OFF VALVE REAKTOR R212,6,457
1800-1811-B2L2-P210-R212-XV04 XV04 ON / OFF VALVE REAKTOR R212,6,458
1800-1811-B2L2-P210-R213-TT01 TT01 TEMP TRANSMITTER REAKTOR R213,6,459
1800-1811-B2L2-P210-R213-XV01 XV01 ON / OFF VALVE REAKTOR R213,6,460
1800-1811-B2L2-P210-R213-XV02 XV02 ON / OFF VALVE REAKTOR R213,6,461
1800-1811-B2L2-P210-R213-XV03 XV03 ON / OFF VALVE REAKTOR R213,6,462
1800-1811-B2L2-P210-R213-XV04 XV04 ON / OFF VALVE REAKTOR R213,6,463
1800-1811-B2L2-P210-R214-TT01 TT01 TEMP TRANSMITTER REAKTOR R214,6,464
1800-1811-B2L2-P210-R214-XV01 XV01 ON / OFF VALVE REAKTOR R214,6,465
1800-1811-B2L2-P210-R214-XV02 XV02 ON / OFF VALVE REAKTOR R214,6,466
1800-1811-B2L2-P210-R214-XV03 XV03 ON / OFF VALVE REAKTOR R214,6,467
1800-1811-B2L2-P210-R214-XV04 XV04 ON / OFF VALVE REAKTOR R214,6,468
1800-1811-B2L2-P230-V231 V2311/V231 MIXING TANKI PACV P230,6,469
1800-1811-B2L2-P230-V231-XV01 XV01 ON / OFF VALVE TANKI V231,6,470
1800-1811-B2L2-P230-V232 V2312/V232 MIXING TANKI PACV P230,6,471
1800-1811-B2L2-P230-V232-XV01 XV01 ON / OFF VALVE TANKI V232,6,472
1800-1811-B2L2-P230-V233 V2313/V233 MIXING TANKI PACV P230,6,473
1800-1811-B2L2-P230-V233-XV01 XV01 ON / OFF VALVE TANKI V233,6,474
1800-1811-B2L2-P230-V234 V2314/V234 MIXING TANKI PACV P230,6,475
1800-1811-B2L2-P230-V234-XV01 XV01 ON / OFF VALVE TANKI V234,6,476
1800-1811-B2L2-P230-V235 V2315/V235 TANKI PACV P230,6,477
1800-1811-B2L2-P230-V236 V2316/V236 TANKI PACV P230,6,478
1800-1811-B2L2-P230-V237 V2317/V237 TANKI PACV P230,6,479
1800-1811-B2L2-P240-V241 V241 SCRUBBER LIQUID TANK P240 PACV,6,480
1800-1811-B2L2-P240-V243-XV01 XV01 ON / OFF VALVE TANKI V243,6,481
1800-1811-B2L2-P240-V244-XV01 XV01 ON / OFF VALVE TANKI V244,6,482
1800-1811-B2L2-P260 WASTE LIQUID TANK PACV P260,6,483
1800-1811-B1H1-PLMR-PRFL POLYMER PROFIL TANK AREA,18,484
1800-1811-C1L1 AREA TIMBANGAN & LOGISTIC,18,485
1800-1811-C2T1 TANK FARM RAW MATERIAL HINCO ALPHA,18,486
1800-1811-C2T2 TANK FARM UTILITY & FINISHED GOODS HA,18,487
1800-1811-C2T3-T310 TANK FARM T310 LCB STORAGE TANK,18,488
1800-1811-C2T3-T310-B311 B311 SCRUBBER C BLOWER T310,18,489
1800-1811-C2T3-T310-B311-BL01 BL01 BALL VALVE BLOWER B311,18,490
1800-1811-C2T3-T310-P301 P3122A/P301 TRANSFER PUMP LCB T310,18,491
1800-1811-C2T3-T310-P301-BL01 BL01 BALL VALVE POMPA P301,18,492
1800-1811-C2T3-T310-P301-BL02 BL02 BALL VALVE POMPA P301,18,493
1800-1811-C2T3-T310-P301-BL03 BL03 BALL VALVE POMPA P301,18,494
1800-1811-C2T3-T310-P301-BL04 BL04 BALL VALVE POMPA P301,18,495
1800-1811-C2T3-T310-P301-BL05 BL05 BALL VALVE POMPA P301,18,496
1800-1811-C2T3-T310-P301-BL06 BL06 BALL VALVE POMPA P301,18,497
1800-1811-C2T3-T310-P301-CK01 CK01 CHECK VALVE POMPA P301,18,498
1800-1811-C2T3-T310-P301-FJ01 FJ01 FLEXIBLE JOINT POMPA P301,18,499
1800-1811-C2T3-T310-P301-PG01 PG01 PRESSURE GAUGE POMPA P301,18,500
1800-1811-C2T3-T310-P302 P3122B/P302 TRANSFER PUMP LCB T310,18,501
1800-1811-C2T3-T310-P302-BL01 BL01 BALL VALVE POMPA P302,18,502
1800-1811-C2T3-T310-P302-BL02 BL02 BALL VALVE POMPA P302,18,503
1800-1811-C2T3-T310-P302-BL03 BL03 BALL VALVE POMPA P302,18,504
1800-1811-C2T3-T310-P302-BL04 BL04 BALL VALVE POMPA P302,18,505
1800-1811-C2T3-T310-P302-BL05 BL05 BALL VALVE POMPA P302,18,506
1800-1811-C2T3-T310-P302-BL06 BL06 BALL VALVE POMPA P302,18,507
1800-1811-C2T3-T310-P302-CK01 CK01 CHECK VALVE POMPA P302,18,508
1800-1811-C2T3-T310-P302-FJ01 FJ01 FLEXIBLE JOINT POMPA P302,18,509
1800-1811-C2T3-T310-P302-PG01 PG01 PRESSURE GAUGE POMPA P302,18,510
1800-1811-C2T3-T310-P303 P3122C/P303 TRANSFER PUMP LCB T310,18,511
1800-1811-C2T3-T310-P303-BL01 BL01 BALL VALVE POMPA P303,18,512
1800-1811-C2T3-T310-P303-BL02 BL02 BALL VALVE POMPA P303,18,513
1800-1811-C2T3-T310-P303-BL03 BL03 BALL VALVE POMPA P303,18,514
1800-1811-C2T3-T310-P303-BL04 BL04 BALL VALVE POMPA P303,18,515
1800-1811-C2T3-T310-P303-BL05 BL05 BALL VALVE POMPA P303,18,516
1800-1811-C2T3-T310-P303-BL06 BL06 BALL VALVE POMPA P303,18,517
1800-1811-C2T3-T310-P303-CK01 CK01 CHECK VALVE POMPA P303,18,518
1800-1811-C2T3-T310-P303-FJ01 FJ01 FLEXIBLE JOINT POMPA P303,18,519
1800-1811-C2T3-T310-P303-PG01 PG01 PRESSURE GAUGE POMPA P303,18,520
1800-1811-C2T3-T310-P304 P3121/P304 TRANSFER PUMP LCB T310,18,521
1800-1811-C2T3-T310-P304-BL01 BL01 BALL VALVE POMPA P304,18,522
1800-1811-C2T3-T310-P304-BL02 BL02 BALL VALVE POMPA P304,18,523
1800-1811-C2T3-T310-P304-BL03 BL03 BALL VALVE POMPA P304,18,524
1800-1811-C2T3-T310-P304-BL04 BL04 BALL VALVE POMPA P304,18,525
1800-1811-C2T3-T310-P304-BL05 BL05 BALL VALVE POMPA P304,18,526
1800-1811-C2T3-T310-P304-BL06 BL06 BALL VALVE POMPA P304,18,527
1800-1811-C2T3-T310-P304-BL07 BL07 BALL VALVE POMPA P304,18,528
1800-1811-C2T3-T310-P304-BL08 BL08 BALL VALVE POMPA P304,18,529
1800-1811-C2T3-T310-P304-CK01 CK01 CHECK VALVE POMPA P304,18,530
1800-1811-C2T3-T310-P304-FJ01 FJ01 FLEXIBLE JOINT POMPA P304,18,531
1800-1811-C2T3-T310-P304-PG01 PG01 PRESSURE GAUGE POMPA P304,18,532
1800-1811-C2T3-T310-P305 P3123B/P305 TRANSFER PUMP LCB T310,18,533
1800-1811-C2T3-T310-P305-BL01 BL01 BALL VALVE POMPA P305,18,534
1800-1811-C2T3-T310-P305-BL02 BL02 BALL VALVE POMPA P305,18,535
1800-1811-C2T3-T310-P305-BL03 BL03 BALL VALVE POMPA P305,18,536
1800-1811-C2T3-T310-P305-BL04 BL04 BALL VALVE POMPA P305,18,537
1800-1811-C2T3-T310-P305-CK01 CK01 CHECK VALVE POMPA P305,18,538
1800-1811-C2T3-T310-P305-FJ01 FJ01 FLEXIBLE JOINT POMPA P305,18,539
1800-1811-C2T3-T310-P306 P3123A/P306 TRANSFER PUMP LCB T310,18,540
1800-1811-C2T3-T310-P306-BL01 BL01 BALL VALVE POMPA P306,18,541
1800-1811-C2T3-T310-P306-BL02 BL02 BALL VALVE POMPA P306,18,542
1800-1811-C2T3-T310-P306-BL03 BL03 BALL VALVE POMPA P306,18,543
1800-1811-C2T3-T310-P306-BL04 BL04 BALL VALVE POMPA P306,18,544
1800-1811-C2T3-T310-P306-BL05 BL05 BALL VALVE POMPA P306,18,545
1800-1811-C2T3-T310-P306-BL06 BL06 BALL VALVE POMPA P306,18,546
1800-1811-C2T3-T310-P306-BL07 BL07 BALL VALVE POMPA P306,18,547
1800-1811-C2T3-T310-P306-BL08 BL08 BALL VALVE POMPA P306,18,548
1800-1811-C2T3-T310-P306-CK01 CK01 CHECK VALVE POMPA P306,18,549
1800-1811-C2T3-T310-P306-FJ01 FJ01 FLEXIBLE JOINT POMPA P306,18,550
1800-1811-C2T3-T310-P306-PG01 PG01 PRESSURE GAUGE POMPA P306,18,551
1800-1811-C2T3-T310-P307-BL01 BL01 BALL VALVE POMPA P307,18,552
1800-1811-C2T3-T310-P307-BL02 BL02 BALL VALVE POMPA P307,18,553
1800-1811-C2T3-T310-P307-BL03 BL03 BALL VALVE POMPA P307,18,554
1800-1811-C2T3-T310-P307-BL04 BL04 BALL VALVE POMPA P307,18,555
1800-1811-C2T3-T310-P307-BL05 BL05 BALL VALVE POMPA P307,18,556
1800-1811-C2T3-T310-P307-BL06 BL06 BALL VALVE POMPA P307,18,557
1800-1811-C2T3-T310-P307-CK01 CK01 CHECK VALVE POMPA P307,18,558
1800-1811-C2T3-T310-P307-FJ01 FJ01 FLEXIBLE JOINT POMPA P307,18,559
1800-1811-C2T3-T310-P307-PG01 PG01 PRESSURE GAUGE POMPA P307,18,560
1800-1811-C2T3-T310-P308 P308 TRANSFER PUMP LCB TO HINCO T310,18,561
1800-1811-C2T3-T310-P308-BL01 BL01 BALL VALVE POMPA P308,18,562
1800-1811-C2T3-T310-P308-BL02 BL02 BALL VALVE POMPA P308,18,563
1800-1811-C2T3-T310-P308-BL03 BL03 BALL VALVE POMPA P308,18,564
1800-1811-C2T3-T310-P308-BL04 BL04 BALL VALVE POMPA P308,18,565
1800-1811-C2T3-T310-P308-CK01 CK01 CHECK VALVE POMPA P308,18,566
1800-1811-C2T3-T310-P308-FJ01 FJ01 FLEXIBLE JOINT POMPA P308,18,567
1800-1811-C2T3-T310-P309 P3142A/P309 LAD LOADING PUMP T310,18,568
1800-1811-C2T3-T310-P309-BL01 BL01 BALL VALVE POMPA P309,18,569
1800-1811-C2T3-T310-P309-BL02 BL02 BALL VALVE POMPA P309,18,570
1800-1811-C2T3-T310-P309-BL03 BL03 BALL VALVE POMPA P309,18,571
1800-1811-C2T3-T310-P309-BL04 BL04 BALL VALVE POMPA P309,18,572
1800-1811-C2T3-T310-P309-BL05 BL05 BALL VALVE POMPA P309,18,573
1800-1811-C2T3-T310-P309-BL06 BL06 BALL VALVE POMPA P309,18,574
1800-1811-C2T3-T310-P309-BL07 BL07 BALL VALVE POMPA P309,18,575
1800-1811-C2T3-T310-P309-CK01 CK01 CHECK VALVE POMPA P309,18,576
1800-1811-C2T3-T310-P309-FJ01 FJ01 FLEXIBLE JOINT POMPA P309,18,577
1800-1811-C2T3-T310-P309-PG01 PG01 PRESSURE GAUGE POMPA P309,18,578
1800-1811-C2T3-T310-P310 P3142B/P310 LAD LOADING PUMP T310,18,579
1800-1811-C2T3-T310-P310-BL01 BL01 BALL VALVE POMPA P310,18,580
1800-1811-C2T3-T310-P310-BL02 BL02 BALL VALVE POMPA P310,18,581
1800-1811-C2T3-T310-P310-BL03 BL03 BALL VALVE POMPA P310,18,582
1800-1811-C2T3-T310-P310-BL04 BL04 BALL VALVE POMPA P310,18,583
1800-1811-C2T3-T310-P310-CK01 CK01 CHECK VALVE POMPA P310,18,584
1800-1811-C2T3-T310-P310-FJ01 FJ01 FLEXIBLE JOINT POMPA P310,18,585
1800-1811-C2T3-T310-P311 P3141A/P311 LAD TRANSFER PUMP T310,18,586
1800-1811-C2T3-T310-P311-BL01 BL01 BALL VALVE POMPA P311,18,587
1800-1811-C2T3-T310-P311-BL02 BL02 BALL VALVE POMPA P311,18,588
1800-1811-C2T3-T310-P311-BL03 BL03 BALL VALVE POMPA P311,18,589
1800-1811-C2T3-T310-P311-BL04 BL04 BALL VALVE POMPA P311,18,590
1800-1811-C2T3-T310-P311-BL05 BL05 BALL VALVE POMPA P311,18,591
1800-1811-C2T3-T310-P311-CK01 CK01 CHECK VALVE POMPA P311,18,592
1800-1811-C2T3-T310-P311-FJ01 FJ01 FLEXIBLE JOINT POMPA P311,18,593
1800-1811-C2T3-T310-P311-PG01 PG01 PRESSURE GAUGE POMPA P311,18,594
1800-1811-C2T3-T310-P312 P3141B/P312 LAD TRANSFER PUMP T310,18,595
1800-1811-C2T3-T310-P312-BL01 BL01 BALL VALVE POMPA P312,18,596
1800-1811-C2T3-T310-P312-BL02 BL02 BALL VALVE POMPA P312,18,597
1800-1811-C2T3-T310-P312-BL03 BL03 BALL VALVE POMPA P312,18,598
1800-1811-C2T3-T310-P312-BL04 BL04 BALL VALVE POMPA P312,18,599
1800-1811-C2T3-T310-P312-CK01 CK01 CHECK VALVE POMPA P312,18,600
1800-1811-C2T3-T310-P312-FJ01 FJ01 FLEXIBLE JOINT POMPA P312,18,601
1800-1811-C2T3-T310-P313 P3161A/P313 SCRUBBER PUMP LAD T310,18,602
1800-1811-C2T3-T310-P314 P3161B/P314 SCRUBBER PUMP LAD T310,18,603
1800-1811-C2T3-T310-T311 T3161/T311 SCRUBBER C,18,604
1800-1811-C2T3-T310-T311-BL01 BL01 BALL VALVE SCRUBBER C T311,18,605
1800-1811-C2T3-T310-T311-BL02 BL02 BALL VALVE SCRUBBER C T311,18,606
1800-1811-C2T3-T310-T311-BL03 BL03 BALL VALVE SCRUBBER C T311,18,607
1800-1811-C2T3-T310-T311-BL04 BL04 BALL VALVE SCRUBBER C T311,18,608
1800-1811-C2T3-T310-T311-BL05 BL05 BALL VALVE SCRUBBER C T311,18,609
1800-1811-C2T3-T310-T311-BL06 BL06 BALL VALVE SCRUBBER C T311,18,610
1800-1811-C2T3-T310-T311-BL07 BL07 BALL VALVE SCRUBBER C T311,18,611
1800-1811-C2T3-T310-T311-BL08 BL08 BALL VALVE SCRUBBER C T311,18,612
1800-1811-C2T3-T310-T311-LG01 LG01 LEVEL GAUGE SCRUBBER C T311,18,613
1800-1811-C2T3-T310-V311 V3111/V311 STORAGE TANK LCB T310,18,614
1800-1811-C2T3-T310-V311-BF01 BF01 BUTTERFLY VALVE TANKI V311,18,615
1800-1811-C2T3-T310-V311-BF02 BF02 BUTTERFLY VALVE TANKI V311,18,616
1800-1811-C2T3-T310-V311-BL01 BL01 BALL VALVE TANKI V311,18,617
1800-1811-C2T3-T310-V311-BL02 BL02 BALL VALVE TANKI V311,18,618
1800-1811-C2T3-T310-V311-BL03 BL03 BALL VALVE TANKI V311,18,619
1800-1811-C2T3-T310-V311-BL04 BL04 BALL VALVE TANKI V311,18,620
1800-1811-C2T3-T310-V311-BL05 BL05 BALL VALVE TANKI V311,18,621
1800-1811-C2T3-T310-V311-BL06 BL06 BALL VALVE TANKI V311,18,622
1800-1811-C2T3-T310-V311-BL07 BL07 BALL VALVE TANKI V311,18,623
1800-1811-C2T3-T310-V311-BL08 BL08 BALL VALVE TANKI V311,18,624
1800-1811-C2T3-T310-V311-BL09 BL09 BALL VALVE TANKI V311,18,625
1800-1811-C2T3-T310-V311-BL10 BL10 BALL VALVE TANKI V311,18,626
1800-1811-C2T3-T310-V311-BL11 BL11 BALL VALVE TANKI V311,18,627
1800-1811-C2T3-T310-V311-BL12 BL12 BALL VALVE TANKI V311,18,628
1800-1811-C2T3-T310-V311-BL13 BL13 BALL VALVE TANKI V311,18,629
1800-1811-C2T3-T310-V311-BL14 BL14 BALL VALVE TANKI V311,18,630
1800-1811-C2T3-T310-V311-LG01 LG01 LEVEL GAUGE TANKI V311,18,631
1800-1811-C2T3-T310-V312 V3112/V312 STORAGE TANK LCB T310,18,632
1800-1811-C2T3-T310-V312-BF01 BF01 BUTTERFLY VALVE TANKI V312,18,633
1800-1811-C2T3-T310-V312-BF02 BF02 BUTTERFLY VALVE TANKI V312,18,634
1800-1811-C2T3-T310-V312-BL01 BL01 BALL VALVE TANKI V312,18,635
1800-1811-C2T3-T310-V312-BL02 BL02 BALL VALVE TANKI V312,18,636
1800-1811-C2T3-T310-V312-BL03 BL03 BALL VALVE TANKI V312,18,637
1800-1811-C2T3-T310-V312-BL04 BL04 BALL VALVE TANKI V312,18,638
1800-1811-C2T3-T310-V312-BL05 BL05 BALL VALVE TANKI V312,18,639
1800-1811-C2T3-T310-V312-BL06 BL06 BALL VALVE TANKI V312,18,640
1800-1811-C2T3-T310-V312-BL07 BL07 BALL VALVE TANKI V312,18,641
1800-1811-C2T3-T310-V312-BL08 BL08 BALL VALVE TANKI V312,18,642
1800-1811-C2T3-T310-V312-BL09 BL09 BALL VALVE TANKI V312,18,643
1800-1811-C2T3-T310-V312-BL10 BL10 BALL VALVE TANKI V312,18,644
1800-1811-C2T3-T310-V312-BL11 BL11 BALL VALVE TANKI V312,18,645
1800-1811-C2T3-T310-V312-BL12 BL12 BALL VALVE TANKI V312,18,646
1800-1811-C2T3-T310-V312-BL13 BL13 BALL VALVE TANKI V312,18,647
1800-1811-C2T3-T310-V312-BL14 BL14 BALL VALVE TANKI V312,18,648
1800-1811-C2T3-T310-V312-LG01 LG01 LEVEL GAUGE TANKI V312,18,649
1800-1811-C2T3-T310-V313 V3113/V313 STORAGE TANK LCB T310,18,650
1800-1811-C2T3-T310-V313-BF01 BF01 BUTTERFLY VALVE TANKI V313,18,651
