FunctionalLoc,resources_id,id
"1800-1811-B6S6-P620-V621-BL05BL05 BALL VALVE 5"" V621",3,77
1800-1811-B6S6-P620-V622V622 WET MIXER #2 P620,3,78
"1800-1811-B6S6-P620-V622-BL01BL01 BALL VALVE AIR 1/2 "" V622",3,79
"1800-1811-B6S6-P620-V622-BL02BL02 BL02 BALL VALVE WATER 1"" V622",3,80
"1800-1811-B6S6-P620-V622-BL03BL03 BALL VALVE WATER 2"" V622",3,81
"1800-1811-B6S6-P620-V622-BL04BL04 BALL VALVE WATER 2"" V622",3,82
"1800-1811-B6S6-P620-V622-BL05BL05 BALL VALVE 1"" V622",3,83
"1800-1811-B6S6-P620-V622-BL06BL06 BALL VALVE 1"" V622",3,84
"1800-1811-B6S6-P620-V622-BL07BL07 BALL VALVE 2"" V622",3,85
1800-1811-B6S6-P620-V623 V623 WET MIXER #3 P620,3,86
1800-1811-B6S6-P620-V624 V624 IBC MIXER #1 P620,3,87
1800-1811-B6S6-P630 SPECIALTY REPACK AREA P630,3,88
1800-1811-B6S6-P631 SPECIALTY REPACK AREA P631,3,89
1800-1811-B6S6-P632 SPECIALTY REPACK AREA P632,3,90
1800-1811-B6S6-P633 SPECIALTY REPACK AREA P633,3,91
1800-1811-B6S6-P630-F631 F631 VIBRO SCREEN SPARATOR P630,3,92
1800-1811-B6S6-P630-P631 P631 DIFRAGMA PUMP #4 P630,3,93
1800-1811-B6S6-P640 SUMP PIT AREA SEPCIALTY P640,3,94
1800-1811-B6S6-P640-P641 P461 POMPA SUMP PIT SPECIALITY P640,3,95
1800-1811-B6S6-P640-P642P462 POMPA SUMP PIT SPECIALITY P640,3,96
1800-1811-B6S6-P640-P642 P462 POMPA SUMP PIT SPECIALITY P640,3,97
1800-1811-B6S6-P640-S641 S461 GROUND TANK SUMP PIT AREA P640,3,98
1800-1811-B6S6-P640-S642 S462 GROUND TANK SUMP PIT AREA P640,3,99
1800-1811-B6S6-P640-S643 S463 GROUND TANK SUMP PIT AREA P640,3,100
1800-1811-B1H1-T360 TANK FARM PAC AREA T360,5,101
1800-1811-C2T7 TANK FARM FINISHED GOODS LIQUID 2,4,102
1800-1811-C2T6 TANK FARM FINISHED GOODS LIQUID 1,4,103
1800-1811-B2L2-P240-T242 T422 CHIMNEY SCRUBBER A U420,6,104
1800-1811-B2L2-P240-T241 T421 SCRUBBER A AREA U420 PACV,6,105
1800-1811-B2L2-P250-T251 T251 SCRUBBER B U250,6,106
1800-1811-B1H1-P230-T232 T232 SCRUBBER CHIMNEY P230,7,107
1800-1811-B1H1-P230-T231 T231 SCRUBBER P230,7,108
1800-1811-B1H1-T370 SUMPIT STORAGE TANK AREA T370,7,109
1800-1811-B1H1-T360-S362 ST04/S362 SPECIALIZED PLANT TANK TYPE S,5,110
1800-1811-B1H1-T360-S361 ST01/S361 SPECIALIZED PLANT TANK TYPE V,5,111
1800-1811-B3P2-P120 SCRUBBER 3500 AREA P120,8,112
1800-1811-B3P2-P130 SCRUBBER 3200 AREA P130,8,113
1800-1811-B3P2-P140 SCRUBBER 1400 AREA P140,8,114
1800-1811-B1H1-T370-S371 S371 WASTE WATER TANK T370,7,115
1800-1811-B2L2-P230-S233 S233 PACV TEMPORARY TANK P230,6,116
1800-1811-B2L2-P230-S232 S232 PACV TEMPORARY TANK P230,6,117
1800-1811-B1H1-P230-S231 S231 SCRUBBER LIQUID TANK HINCO P230,7,118
1800-1811-B2L2-P230-S231 S231 PACV TEMPORARY TANK P230,6,119
1800-1811-B2L2-P220-S228 S228 FILTER STORAGE TANK P220,6,120
